college,program_code,year_level,semester,subject_code
CBAE,BSBA-FM,3,1st,STRAMAN
CBAE,BSBA-HRM,1,1st,ETHICS
CBAE,BSBA-HRM,1,1st,KOMFIL
CBAE,BSBA-HRM,1,1st,"LEAD 1"
CBAE,BSBA-HRM,1,1st,MATHINV
CBAE,BSBA-HRM,1,1st,"NSTP 1"
CBAE,BSBA-HRM,1,1st,P.MGT
CBAE,BSBA-HRM,1,1st,P.MKTG
CBAE,BSBA-HRM,1,1st,"PE 1"
CBAE,BSBA-HRM,1,1st,PHILHIS
CBAE,BSBA-HRM,1,1st,PURPCOMM
CBAE,BSBA-HRM,1,1st,UNSELF
CBAE,BSBA-HRM,1,2nd,ADVCOM
CBAE,BSBA-HRM,1,2nd,ARTAPP
CBAE,BSBA-HRM,1,2nd,CONWRLD
CBAE,BSBA-HRM,1,2nd,ENMND
CBAE,BSBA-HRM,1,2nd,FILDIS
CBAE,BSBA-HRM,1,2nd,HRMAN
CBAE,BSBA-HRM,1,2nd,LEAD2
CBAE,BSBA-HRM,1,2nd,MATHWRLD
CBAE,BSBA-HRM,1,2nd,NSTP2
CBAE,BSBA-HRM,1,2nd,P.FIN
CBAE,BSBA-HRM,1,2nd,"PE 2"
CBAE,BSBA-HRM,2,1st,BUSLAW
CBAE,BSBA-HRM,2,1st,GGSR
CBAE,BSBA-HRM,2,1st,"LEAD 3"
CBAE,BSBA-HRM,2,1st,MARMAN
CBAE,BSBA-HRM,2,1st,OPMAN
CBAE,BSBA-HRM,2,1st,"PE 3"
CBAE,BSBA-HRM,2,1st,RECSEL
CBAE,BSBA-HRM,2,1st,SOSLIT
CBAE,BSBA-HRM,2,1st,TAX
CBAE,BSBA-HRM,2,2nd,ADMAN
CBAE,BSBA-HRM,2,2nd,LABLAW
CBAE,BSBA-HRM,2,2nd,LEAD4
CBAE,BSBA-HRM,2,2nd,MANACC
CBAE,BSBA-HRM,2,2nd,MICECO
CBAE,BSBA-HRM,2,2nd,"PE 4"
CBAE,BSBA-HRM,2,2nd,PROJMAN
CBAE,BSBA-HRM,2,2nd,RIZAL
CBAE,BSBA-HRM,2,2nd,TRADEV
CBAE,BSBA-HRM,3,1st,COMPAD
CBAE,BSBA-HRM,3,1st,INTEBUS
CBAE,BSBA-HRM,3,1st,"LEAD 5"
CBAE,BSBA-HRM,3,1st,LOGMAN
CBAE,BSBA-HRM,3,1st,STATRES
CBAE,BSBA-HRM,3,1st,STRAMAN
CBAE,BSBA-HRM,3,2nd,BUSRES
CBAE,BSBA-HRM,3,2nd,COMPAD
CBAE,BSBA-HRM,3,2nd,LEAD6
CBAE,BSBA-HRM,3,2nd,LOGMAN
CBAE,BSBA-HRM,3,2nd,ORGDEV
CBAE,BSBA-HRM,3,2nd,STRAMAN
CBAE,BSBA-HRM,4,1st,LABREL
CBAE,BSBA-HRM,4,1st,LEAD7
CBAE,BSBA-HRM,4,1st,THESIS
CBAE,BSBA-HRM,4,2nd,LEAD8
CBAE,BSBA-HRM,4,2nd,PRACT
CBAE,BSBA-HRM,4,2nd,SPT-HR
CBAE,BSBA-MM,1,1st,ARTAPP
CBAE,BSBA-MM,1,1st,GGSR
CBAE,BSBA-MM,1,1st,"LEAD 1"
CBAE,BSBA-MM,1,1st,MATHINV
CBAE,BSBA-MM,1,1st,"NSTP 1"
CBAE,BSBA-MM,1,1st,P.MGT
CBAE,BSBA-MM,1,1st,P.MKTG
CBAE,BSBA-MM,1,1st,"PE 1"
CBAE,BSBA-MM,1,1st,PHILHIS
CBAE,BSBA-MM,1,1st,SOSLIT
CBAE,BSBA-MM,1,1st,UNSELF
CBAE,BSBA-MM,1,2nd,CONWRLD
CBAE,BSBA-MM,1,2nd,ENMND
CBAE,BSBA-MM,1,2nd,KOMFIL
CBAE,BSBA-MM,1,2nd,LEAD2
CBAE,BSBA-MM,1,2nd,MARMAN
CBAE,BSBA-MM,1,2nd,MATHWRLD
CBAE,BSBA-MM,1,2nd,NSTP2
CBAE,BSBA-MM,1,2nd,P.FIN
CBAE,BSBA-MM,1,2nd,"PE 2"
CBAE,BSBA-MM,1,2nd,SCITECH
CBAE,BSBA-MM,2,1st,ADVCOM
CBAE,BSBA-MM,2,1st,ADVER
CBAE,BSBA-MM,2,1st,ETHICS
CBAE,BSBA-MM,2,1st,FILDIS
CBAE,BSBA-MM,2,1st,HRMAN
CBAE,BSBA-MM,2,1st,"LEAD 3"
CBAE,BSBA-MM,2,1st,OPMAN
CBAE,BSBA-MM,2,1st,"PE 3"
CBAE,BSBA-MM,2,1st,PRISTRAT
CBAE,BSBA-MM,2,1st,RIZAL
CBAE,BSBA-MM,2,2nd,BUSLAW
CBAE,BSBA-MM,2,2nd,INTEMAR
CBAE,BSBA-MM,2,2nd,LEAD4
CBAE,BSBA-MM,2,2nd,MANACC
CBAE,BSBA-MM,2,2nd,"PE 4"
CBAE,BSBA-MM,2,2nd,PSPEAK
CBAE,BSBA-MM,2,2nd,STATRES
CBAE,BSBA-MM,2,2nd,STRAMAN
CBAE,BSBA-MM,2,2nd,TAX
CBAE,BSBA-MM,3,1st,DISMAN
CBAE,BSBA-MM,3,1st,INTEBUS
CBAE,BSBA-MM,3,1st,"LEAD 5"
CBAE,BSBA-MM,3,1st,MARKRES
CBAE,BSBA-MM,3,1st,MICECO
CBAE,BSBA-MM,3,1st,PRODMAN
CBAE,BSBA-MM,3,2nd,BUSRES
CBAE,BSBA-MM,3,2nd,LEAD6
CBAE,BSBA-MM,3,2nd,PROSAL
CBAE,BSBA-MM,3,2nd,RETMAN
CBAE,BSBA-MM,3,2nd,STRAMAN
CBAE,BSBA-MM,4,1st,LEAD7
CBAE,BSBA-MM,4,1st,MARKDEV
CBAE,BSBA-MM,4,1st,THESIS
CBAE,BSBA-MM,4,2nd,LEAD8
CBAE,BSBA-MM,4,2nd,PRACT
CBAE,BSBA-MM,4,2nd,SPT-MM
CBAE,BSENTREP,1,1st,ARTAPP
CBAE,BSENTREP,1,1st,ETHICS
CBAE,BSENTREP,1,1st,KOMFIL
CBAE,BSENTREP,1,1st,"LEAD 1"
CBAE,BSENTREP,1,1st,"NSTP 1"
CBAE,BSENTREP,1,1st,P.MGT
CBAE,BSENTREP,1,1st,P.MKTG
CBAE,BSENTREP,1,1st,"PE 1"
CBAE,BSENTREP,1,1st,PHILHIS
CBAE,BSENTREP,1,1st,PURPCOMM
CBAE,BSENTREP,1,1st,UNSELF
CBAE,BSENTREP,1,2nd,FILDIS
CBAE,BSENTREP,1,2nd,LEAD2
CBAE,BSENTREP,1,2nd,MARMAN
CBAE,BSENTREP,1,2nd,MATHWRLD
CBAE,BSENTREP,1,2nd,NSTP2
CBAE,BSENTREP,1,2nd,P.FIN
CBAE,BSENTREP,1,2nd,"PE 2"
CBAE,BSENTREP,1,2nd,RIZAL
CBAE,BSENTREP,1,2nd,SCITECH
CBAE,BSENTREP,2,1st,CONWRLD
CBAE,BSENTREP,2,1st,ENTREBE
CBAE,BSENTREP,2,1st,HRMAN
CBAE,BSENTREP,2,1st,"LEAD 3"
CBAE,BSENTREP,2,1st,MANACC
CBAE,BSENTREP,2,1st,MICECO
CBAE,BSENTREP,2,1st,OPPOSE
CBAE,BSENTREP,2,1st,"PE 3"
CBAE,BSENTREP,2,1st,SOSLIT
CBAE,BSENTREP,2,2nd,ADVCOM
CBAE,BSENTREP,2,2nd,BUSTAX
CBAE,BSENTREP,2,2nd,FRANCH
CBAE,BSENTREP,2,2nd,INTEBUS
CBAE,BSENTREP,2,2nd,LEAD4
CBAE,BSENTREP,2,2nd,MARKCOB
CBAE,BSENTREP,2,2nd,"PE 4"
CBAE,BSENTREP,2,2nd,PRICOS
CBAE,BSENTREP,2,2nd,PSPEAK
CBAE,BSENTREP,3,1st,E-COMM
CBAE,BSENTREP,3,1st,ENTREMAR
CBAE,BSENTREP,3,1st,INOVMN
CBAE,BSENTREP,3,1st,"LEAD 5"
CBAE,BSENTREP,3,1st,OPMAN
CBAE,BSENTREP,3,1st,SOCENT
CBAE,BSENTREP,3,1st,"TRACK 1"
CBAE,BSENTREP,3,2nd,BP-PRE
CBAE,BSENTREP,3,2nd,E-COMM
CBAE,BSENTREP,3,2nd,FINMAN
CBAE,BSENTREP,3,2nd,LEAD6
CBAE,BSENTREP,3,2nd,MICROFIN
CBAE,BSENTREP,3,2nd,STRAMAN
CBAE,BSENTREP,3,2nd,TRACK2
CBAE,BSENTREP,4,1st,"BP IMPLE1"
CBAE,BSENTREP,4,1st,LEAD7
CBAE,BSENTREP,4,1st,"TRACK 3"
CBAE,BSENTREP,4,2nd,BP-IMPLEM2
CBAE,BSENTREP,4,2nd,LEAD8
CBAE,BSENTREP,4,2nd,"TRACKS 4"
CCS,BSIT,1,1st,ITC
CCS,BSIT,1,1st,ITCL
CCS,BSIT,1,1st,ITP1
CCS,BSIT,1,1st,ITP1L
CCS,BSIT,1,1st,ITP2
CCS,BSIT,1,1st,ITP2L
CCS,BSIT,1,1st,KOMFIL
CCS,BSIT,1,1st,"LEAD 1"
CCS,BSIT,1,1st,MATHWRLD
CCS,BSIT,1,1st,"NSTP 1"
CCS,BSIT,1,1st,"PE 1"
CCS,BSIT,1,1st,PHILHIST
CCS,BSIT,1,1st,PURPCOMM
CCS,BSIT,1,1st,UNDSELF
CCS,BSIT,1,2nd,CONWRLD
CCS,BSIT,1,2nd,ETHICS
CCS,BSIT,1,2nd,HCI
CCS,BSIT,1,2nd,HCIL
CCS,BSIT,1,2nd,ITPLUS3
CCS,BSIT,1,2nd,ITPLUS4
CCS,BSIT,1,2nd,LEAD2
CCS,BSIT,1,2nd,NSTP2
CCS,BSIT,1,2nd,"PE 2"
CCS,BSIT,1,2nd,PROG1
CCS,BSIT,1,2nd,PROG1L
CCS,BSIT,1,2nd,PSPEAK
CCS,BSIT,1,2nd,SCITECH
CCS,BSIT,2,1st,IT-ELEC3
CCS,BSIT,2,1st,WEBDES
CCS,BSIT,2,1st,CPROG2
CCS,BSIT,2,1st,CPROG2L
CCS,BSIT,2,1st,DBMSYS
CCS,BSIT,2,1st,DBMSYSL
CCS,BSIT,2,1st,ENVISCI
CCS,BSIT,2,1st,IPT1
CCS,BSIT,2,1st,IPT1L
CCS,BSIT,2,1st,"LEAD 3"
CCS,BSIT,2,1st,NW1
CCS,BSIT,2,1st,NW1L
CCS,BSIT,2,1st,"PE 3"
CCS,BSIT,2,1st,WST
CCS,BSIT,2,1st,WSTL
CCS,BSIT,2,2nd,DSTRUCT
CCS,BSIT,2,2nd,DSTRUCTL
CCS,BSIT,2,2nd,INFOMGT
CCS,BSIT,2,2nd,INFOMGTL
CCS,BSIT,2,2nd,LEAD4
CCS,BSIT,2,2nd,NET2
CCS,BSIT,2,2nd,NET2L
CCS,BSIT,2,2nd,OOP
CCS,BSIT,2,2nd,OOPL
CCS,BSIT,2,2nd,"PE 4"
CCS,BSIT,2,2nd,PROFELEC1
CCS,BSIT,2,2nd,PROFELEC1L
CCS,BSIT,2,2nd,SOSLIT
CCS,BSIT,2,2nd,SYSARCH1
CCS,BSIT,2,2nd,SYSARCH1L
CCS,BSIT,3,1st,ARTAPP
CCS,BSIT,3,1st,BMC
CCS,BSIT,3,1st,BMCL
CCS,BSIT,3,1st,CAO
CCS,BSIT,3,1st,CAOL
CCS,BSIT,3,1st,DMATH
CCS,BSIT,3,1st,"LEAD 5"
CCS,BSIT,3,1st,PRELEC2
CCS,BSIT,3,1st,PRELEC2L
CCS,BSIT,3,1st,PT
CCS,BSIT,3,1st,PTL
CCS,BSIT,3,1st,SIA2
CCS,BSIT,3,1st,SIA2L
CCS,BSIT,3,2nd,ADVMOB
CCS,BSIT,3,2nd,ADVMOBL
CCS,BSIT,3,2nd,ARCHORG
CCS,BSIT,3,2nd,ARCHORGL
CCS,BSIT,3,2nd,CAPSTONE1
CCS,BSIT,3,2nd,CAPSTONE1L
CCS,BSIT,3,2nd,INFOSEC1
CCS,BSIT,3,2nd,INFOSEC1L
CCS,BSIT,3,2nd,LEAD6
CCS,BSIT,3,2nd,QMTHODS
CCS,BSIT,3,2nd,RIZAL
CCS,BSIT,3,2nd,WEBSYS
CCS,BSIT,3,2nd,WEBSYSL
CCS,BSIT,4,1st,BUSANA
CCS,BSIT,4,1st,CAPS2
CCS,BSIT,4,1st,CAPS2L
CCS,BSIT,4,1st,IT-ELEC1
CCS,BSIT,4,1st,IT-ELEC2
CCS,BSIT,4,1st,"LEAD 7"
CCS,BSIT,4,1st,SPI
CCS,BSIT,4,2nd,LEAD8
CCS,BSIT,4,2nd,OJT
CCS,BSIT,4,2nd,SYSMAIN
CCS,BSIT,4,2nd,SYSMAINL
COA,BSA,1,1st,CONWRLD
COA,BSA,1,1st,FINACC
COA,BSA,1,1st,"FUNDACC 1"
COA,BSA,1,1st,KOMFIL
COA,BSA,1,1st,"LEAD 1"
COA,BSA,1,1st,MANECO
COA,BSA,1,1st,"NSTP 1"
COA,BSA,1,1st,"PE 1"
COA,BSA,1,1st,PHILHIST
COA,BSA,1,1st,BUS-ORG
COA,BSA,1,1st,UNDSELF
COA,BSA,1,2nd,CONFRAST
COA,BSA,1,2nd,COSTACC
COA,BSA,1,2nd,ECODEV
COA,BSA,1,2nd,INTACC1
COA,BSA,1,2nd,"LEAD 2"
COA,BSA,1,2nd,MATHWRLD
COA,BSA,1,2nd,"NSTP 2"
COA,BSA,1,2nd,OBLICON
COA,BSA,1,2nd,"PE 2"
COA,BSA,1,2nd,PURPCOMM
COA,BSA,1,2nd,SOSLIT
COA,BSA,2,1st,BLAWREG
COA,BSA,2,1st,ENVISCI
COA,BSA,2,1st,ETHICS
COA,BSA,2,1st,INCTAX
COA,BSA,2,1st,"INTACC 2"
COA,BSA,2,1st,IT-ATB
COA,BSA,2,1st,"LEAD 3"
COA,BSA,2,1st,MANSCI
COA,BSA,2,1st,"PE 3"
COA,BSA,2,1st,SCOSMAN
COA,BSA,2,2nd,ACCINS
COA,BSA,2,2nd,ARTAPP
COA,BSA,2,2nd,BGBERMIC
COA,BSA,2,2nd,BUSTAX
COA,BSA,2,2nd,FINMAR
COA,BSA,2,2nd,INTACC3
COA,BSA,2,2nd,"LEAD 4"
COA,BSA,2,2nd,"PE 4"
COA,BSA,2,2nd,RFLIB
COA,BSA,2,2nd,RIZAL
COA,BSA,3,1st,"AACAP 1"
COA,BSA,3,1st,AAPRIN
COA,BSA,3,1st,ACCBC
COA,BSA,3,1st,ACCST
COA,BSA,3,1st,FINMAN
COA,BSA,3,1st,HUBEORG
COA,BSA,3,1st,"LEAD 5"
COA,BSA,3,1st,STASSAP
COA,BSA,3,2nd,AASPIN
COA,BSA,3,2nd,ACCAP2
COA,BSA,3,2nd,ACCREM
COA,BSA,3,2nd,AGOVNPO
COA,BSA,3,2nd,AUCISE
COA,BSA,3,2nd,IBUSTRA
COA,BSA,3,2nd,"LEAD 6"
COA,BSA,3,2nd,PMTACC
COA,BSA,4,1st,ACCINTERN
COA,BSA,4,1st,ACCRES
COA,BSA,4,1st,"LEAD 7"
COA,BSA,4,1st,SBUSANA
COA,BSA,4,2nd,ENTREMIN
COA,BSA,4,2nd,LEAD8
COA,BSA,4,2nd,SCITECH
COA,BSA,4,2nd,STRAMAN
COA,BSA,4,2nd,UPFRS
COA,BSA,4,2nd,VALCOMET
COA,BSA,4,2nd,VISART
COE,BEED,1,1st,ARTAPP
COE,BEED,1,1st,ENVISCI
COE,BEED,1,1st,ETHICS
COE,BEED,1,1st,KOMFIL
COE,BEED,1,1st,"LEAD 1"
COE,BEED,1,1st,MATHINV
COE,BEED,1,1st,"NSTP 1"
COE,BEED,1,1st,"PE 1"
COE,BEED,1,1st,PHILHIS
COE,BEED,1,1st,PURPCOMM
COE,BEED,1,1st,UNDSELF
COE,BEED,1,2nd,CALLP
COE,BEED,1,2nd,CONWRLD
COE,BEED,1,2nd,FILDIS
COE,BEED,1,2nd,"LEAD 2"
COE,BEED,1,2nd,MATHWRLD
COE,BEED,1,2nd,"NSTP 2"
COE,BEED,1,2nd,"PE 2"
COE,BEED,1,2nd,PSPEAK
COE,BEED,1,2nd,RIZAL
COE,BEED,1,2nd,SCITECH
COE,BEED,1,2nd,VISART
COE,BEED,2,1st,"EDTECH 1"
COE,BEED,2,1st,FALECT
COE,BEED,2,1st,FOSPED
COE,BEED,2,1st,"LEAD 3"
COE,BEED,2,1st,"PE 3"
COE,BEED,2,1st,SOSLIT
COE,BEED,2,1st,"TFIL 1"
COE,BEED,2,1st,"TMATH 1"
COE,BEED,2,1st,TPROF
COE,BEED,2,1st,"TSCI 1"
COE,BEED,2,1st,"TSS 1"
COE,BEED,2,2nd,BENLAC
COE,BEED,2,2nd,CONPED
COE,BEED,2,2nd,EDSTAT
COE,BEED,2,2nd,"EDTECH 2"
COE,BEED,2,2nd,"LEAD 4"
COE,BEED,2,2nd,"PE 4"
COE,BEED,2,2nd,TEAORG
COE,BEED,2,2nd,TEASCURR
COE,BEED,2,2nd,"TFIL 2"
COE,BEED,2,2nd,"TMATH 2"
COE,BEED,2,2nd,"TSCI 2"
COE,BEED,3,1st,"ASSMNT 1"
COE,BEED,3,1st,EPP
COE,BEED,3,1st,FERCE
COE,BEED,3,1st,"LEAD 5"
COE,BEED,3,1st,TEARTS
COE,BEED,3,1st,TLARTS
COE,BEED,3,1st,TLIT
COE,BEED,3,1st,TMUSIC
COE,BEED,3,1st,"TSS 2"
COE,BEED,3,2nd,"ASSMNT 2"
COE,BEED,3,2nd,EPPENT
COE,BEED,3,2nd,GMRC
COE,BEED,3,2nd,INSPED
COE,BEED,3,2nd,"LEAD 6"
COE,BEED,3,2nd,RESELEM1
COE,BEED,3,2nd,TMGC
COE,BEED,3,2nd,TPEH
COE,BEED,4,1st,"FS 1"
COE,BEED,4,1st,"FS 2"
COE,BEED,4,1st,"LEAD 7"
COE,BEED,4,1st,"RES 2"
COE,BEED,4,2nd,LEAD8
COE,BEED,4,2nd,PRACTICU
COE,BSED-ENG,1,1st,ARTAPP
COE,BSED-ENG,1,1st,ENVISCI
COE,BSED-ENG,1,1st,ETHICS
COE,BSED-ENG,1,1st,KOMFIL
COE,BSED-ENG,1,1st,"LEAD 1"
COE,BSED-ENG,1,1st,MATHINV
COE,BSED-ENG,1,1st,"NSTP 1"
COE,BSED-ENG,1,1st,"PE 1"
COE,BSED-ENG,1,1st,PHILHIS
COE,BSED-ENG,1,1st,PURPCOMM
COE,BSED-ENG,1,1st,UNDSELF
COE,BSED-ENG,1,2nd,CALLP
COE,BSED-ENG,1,2nd,CONWRLD
COE,BSED-ENG,1,2nd,FILDIS
COE,BSED-ENG,1,2nd,"LEAD 2"
COE,BSED-ENG,1,2nd,LINGUIST
COE,BSED-ENG,1,2nd,MATHWRLD
COE,BSED-ENG,1,2nd,"NSTP 2"
COE,BSED-ENG,1,2nd,"PE 2"
COE,BSED-ENG,1,2nd,PSPEAK
COE,BSED-ENG,1,2nd,SCITECH
COE,BSED-ENG,1,2nd,VISART
COE,BSED-ENG,2,1st,BENLAC
COE,BSED-ENG,2,1st,"EDTECH 1"
COE,BSED-ENG,2,1st,ESTRUCT
COE,BSED-ENG,2,1st,FALECT
COE,BSED-ENG,2,1st,FOSPED
COE,BSED-ENG,2,1st,LCS
COE,BSED-ENG,2,1st,"LEAD 3"
COE,BSED-ENG,2,1st,"PE 3"
COE,BSED-ENG,2,1st,SOSLIT
COE,BSED-ENG,2,1st,TPROF
COE,BSED-ENG,2,2nd,EDSTAT
COE,BSED-ENG,2,2nd,"EDTECH 2"
COE,BSED-ENG,2,2nd,"LAN ACQ"
COE,BSED-ENG,2,2nd,"LEAD 4"
COE,BSED-ENG,2,2nd,MYTH
COE,BSED-ENG,2,2nd,"PE 4"
COE,BSED-ENG,2,2nd,STARTS
COE,BSED-ENG,2,2nd,TEAORG
COE,BSED-ENG,2,2nd,TEASCURR
COE,BSED-ENG,2,2nd,TECHWRIT
COE,BSED-ENG,3,1st,"ASSMNT 1"
COE,BSED-ENG,3,1st,CAMJOURN
COE,BSED-ENG,3,1st,CHILDLIT
COE,BSED-ENG,3,1st,CREWRIT
COE,BSED-ENG,3,1st,"LEAD 5"
COE,BSED-ENG,3,1st,MATDEV
COE,BSED-ENG,3,1st,PROGPOL
COE,BSED-ENG,3,1st,TASGRAM
COE,BSED-ENG,3,1st,TASLIT
COE,BSED-ENG,3,1st,TASMAC
COE,BSED-ENG,3,2nd,AFROLIT
COE,BSED-ENG,3,2nd,"ASSMNT 2"
COE,BSED-ENG,3,2nd,ENAMLIT
COE,BSED-ENG,3,2nd,"LEAD 6"
COE,BSED-ENG,3,2nd,LITCRIT
COE,BSED-ENG,3,2nd,PHILIT
COE,BSED-ENG,3,2nd,POPLIT
COE,BSED-ENG,3,2nd,"RESENG 1"
COE,BSED-ENG,3,2nd,RIZAL
COE,BSED-ENG,4,1st,"FS 1"
COE,BSED-ENG,4,1st,"FS 2"
COE,BSED-ENG,4,1st,"LEAD 7"
COE,BSED-ENG,4,1st,REMINST
COE,BSED-ENG,4,1st,"RES 2"
COE,BSED-ENG,4,2nd,LEAD8
COE,BSED-ENG,4,2nd,PRACTICU
COE,BSED-FIL,1,1st,ARTAPP
COE,BSED-FIL,1,1st,ENVISCI
COE,BSED-FIL,1,1st,ETHICS
COE,BSED-FIL,1,1st,KOMFIL
COE,BSED-FIL,1,1st,"LEAD 1"
COE,BSED-FIL,1,1st,MATHINV
COE,BSED-FIL,1,1st,"NSTP 1"
COE,BSED-FIL,1,1st,"PE 1"
COE,BSED-FIL,1,1st,PHILHIS
COE,BSED-FIL,1,1st,PURPCOMM
COE,BSED-FIL,1,1st,UNDSELF
COE,BSED-FIL,1,2nd,CALLP
COE,BSED-FIL,1,2nd,CONWRLD
COE,BSED-FIL,1,2nd,FILDIS
COE,BSED-FIL,1,2nd,FILWIK
COE,BSED-FIL,1,2nd,"LEAD 2"
COE,BSED-FIL,1,2nd,MATHWRLD
COE,BSED-FIL,1,2nd,"NSTP 2"
COE,BSED-FIL,1,2nd,"PE 2"
COE,BSED-FIL,1,2nd,PSPEAK
COE,BSED-FIL,1,2nd,SCITECH
COE,BSED-FIL,1,2nd,VISART
COE,BSED-FIL,2,1st,BENLAC
COE,BSED-FIL,2,1st,"EDTECH 1"
COE,BSED-FIL,2,1st,FALECT
COE,BSED-FIL,2,1st,FOSPED
COE,BSED-FIL,2,1st,"LEAD 3"
COE,BSED-FIL,2,1st,LINGGWIS
COE,BSED-FIL,2,1st,PANREH
COE,BSED-FIL,2,1st,"PE 3"
COE,BSED-FIL,2,1st,RIZAL
COE,BSED-FIL,2,1st,SOSLIT
COE,BSED-FIL,2,1st,TPROF
COE,BSED-FIL,2,2nd,EDSTAT
COE,BSED-FIL,2,2nd,"EDTECH 2"
COE,BSED-FIL,2,2nd,"ELEKTIB 1"
COE,BSED-FIL,2,2nd,ESWIKA
COE,BSED-FIL,2,2nd,FILKULIP
COE,BSED-FIL,2,2nd,FILKURI
COE,BSED-FIL,2,2nd,"LEAD 4"
COE,BSED-FIL,2,2nd,PANBAN
COE,BSED-FIL,2,2nd,"PE 4"
COE,BSED-FIL,2,2nd,TEAORG
COE,BSED-FIL,2,2nd,TEASCURR
COE,BSED-FIL,3,1st,"ASSMNT 1"
COE,BSED-FIL,3,1st,BARWIKA
COE,BSED-FIL,3,1st,DULA
COE,BSED-FIL,3,1st,INTROMID
COE,BSED-FIL,3,1st,KWENBEL
COE,BSED-FIL,3,1st,"LEAD 5"
COE,BSED-FIL,3,1st,OBRABASA
COE,BSED-FIL,3,1st,PANDAIGDIG
COE,BSED-FIL,3,1st,PANPAM
COE,BSED-FIL,3,1st,SALIN
COE,BSED-FIL,4,2nd,LEAD8
COE,BSED-FIL,4,2nd,PRACTICU
COE,BSED-SOCSCI,1,1st,ARTAPP
COE,BSED-SOCSCI,1,1st,ENVISCI
COE,BSED-SOCSCI,1,1st,ETHICS
COE,BSED-SOCSCI,1,1st,KOMFIL
COE,BSED-SOCSCI,1,1st,"LEAD 1"
COE,BSED-SOCSCI,1,1st,MATHINV
COE,BSED-SOCSCI,1,1st,"NSTP 1"
COE,BSED-SOCSCI,1,1st,"PE 1"
COE,BSED-SOCSCI,1,1st,PHILHIS
COE,BSED-SOCSCI,1,1st,PURPCOMM
COE,BSED-SOCSCI,1,1st,UNDSELF
COE,BSED-SOCSCI,1,2nd,CALLP
COE,BSED-SOCSCI,1,2nd,CONWRLD
COE,BSED-SOCSCI,1,2nd,FILDIS
COE,BSED-SOCSCI,1,2nd,FOSO
COE,BSED-SOCSCI,1,2nd,"LEAD 2"
COE,BSED-SOCSCI,1,2nd,MATHWRLD
COE,BSED-SOCSCI,1,2nd,"NSTP 2"
COE,BSED-SOCSCI,1,2nd,"PE 2"
COE,BSED-SOCSCI,1,2nd,PSPEAK
COE,BSED-SOCSCI,1,2nd,SCITECH
COE,BSED-SOCSCI,1,2nd,VISART
COE,BSED-SOCSCI,2,1st,BENLAC
COE,BSED-SOCSCI,2,1st,"EDTECH 1"
COE,BSED-SOCSCI,2,1st,FALECT
COE,BSED-SOCSCI,2,1st,FOSPED
COE,BSED-SOCSCI,2,1st,"LEAD 3"
COE,BSED-SOCSCI,2,1st,"PE 3"
COE,BSED-SOCSCI,2,1st,PLANDWORLD
COE,BSED-SOCSCI,2,1st,POLGOV
COE,BSED-SOCSCI,2,1st,RIZAL
COE,BSED-SOCSCI,2,1st,SOSLIT
COE,BSED-SOCSCI,2,1st,TPROF
COE,BSED-SOCSCI,2,2nd,"ASIA 1"
COE,BSED-SOCSCI,2,2nd,BASMA
COE,BSED-SOCSCI,2,2nd,EDSTAT
