organization,subject_code,subject_code_key,description,description_variants,units,offered_semesters,source_academic_years,prerequisite_codes,prerequisite_logic,prerequisite_confidence,possible_prerequisite_codes,possible_prerequisite_logic,professor_surnames,sections,prerequisite_notes
CBAE,ENMND,ENMND,The Enterpreneurial Mind,The Enterpreneurial Mind | The Entrepreneurial MInd,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ABAD|LOPEZ|TELESFORO,HR 101|HR 102|HR 103|MM 101|MM 102|MM 103|MM 104,No clear prerequisite identified from the uploaded schedules.
CBAE,ENTREBE,ENTREBE,Entrepreneurship Behavior,Entrepreneurship Behavior,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,EN 201,No clear prerequisite identified from the uploaded schedules.
CBAE,ENTREMAR,ENTREMAR,Entrepreneurship Marketing Strategies,Entrepreneurship Marketing Strategies,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,EN 301,No clear prerequisite identified from the uploaded schedules.
CBAE,ETHICS,ETHICS,Business Ethics,Buisnes Ethics | Busines Ethics | Business Ethics | ETHICS,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BIBAL|DELA CRUZ|LOPEZ,EN 101|FM 101|FM 102|HR 101|HR 102|HR 103|MM 201|MM 202|MM 203|MM 204,No clear prerequisite identified from the uploaded schedules.
CBAE,FILDIS,FILDIS,Filipino sa Ibat-ibang Disiplina,Filipino sa Iba't Ibang Disiplina | Filipino sa Iba't-ibang Disiplina | Filipino sa Ibat-ibang Disiplina,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CABRAL|CUISON|LEI|MENDILA|MENDIOLA,EN 101|FM 101|FM 102|HR 101|HR 102|HR 103|MM 201|MM 202|MM 203|MM 204,No clear prerequisite identified from the uploaded schedules.
CBAE,FINARE,FINARE,Financial Analysis and Reporting,Financial Analysis and Reporting,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CAMACHO,FM 201|FM 202,No clear prerequisite identified from the uploaded schedules.
CBAE,FINMAN,FINMAN,Financial Management,Financial Management,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,PFIN,ALL,BRIOLA,EN 301|FM 102|FM 202,No clear prerequisite identified from the uploaded schedules. Possible review: Financial Management commonly follows Principles of Finance.
CBAE,FRANCH,FRANCH,Franchising,Franchising,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,VALENCIA,EN 201|FM 102|FM 202,No clear prerequisite identified from the uploaded schedules.
CBAE,FUNDACC,FUNDACC,Fundamentals of Accounting,Fundamentals of Accounting,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,FM 101|FM 102,No clear prerequisite identified from the uploaded schedules.
CBAE,GGSR,GGSR,Good Governance & Social Responsibility,Good Governance & Social Responsibility,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CANAY,FM 102|FM 202|HR 201|HR 202|HR 203|MM 101|MM 102|MM 103,No clear prerequisite identified from the uploaded schedules.
CBAE,HRMAN,HRMAN,Human Resource Management,Human Resource Management,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ABAD|DELA CRUZ|DUCO|ESPIRITU|LAYOS|LOPEZ,EN 201|FM 201|FM 202|HR 101|HR 102|HR 103|MM 201|MM 202|MM 203|MM 204,No clear prerequisite identified from the uploaded schedules.
CBAE,INOVMN,INOVMN,Innovation Management,Innovation Management,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DELA CRUZ,EN 301,No clear prerequisite identified from the uploaded schedules.
CBAE,INTEBUS,INTEBUS,International Business and Trade,International Business & Trade | International Business and Trade | Internationla Business and Trade,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BIBAL,EN 201|FM 201|FM 202|HR 301|HR 302|MM 301|MM 302|MM 303,No clear prerequisite identified from the uploaded schedules.
CBAE,INTEMAR,INTEMAR,International Marketing,International Marketing,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,TANANGONAN,MM 201|MM 202|MM 203,No clear prerequisite identified from the uploaded schedules.
CBAE,KOMFIL,KOMFIL,Kontekstwalisadong Komunikasyon,Kontekstwalisadong Komunikasyon,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CARPILA|GARCHITORENA|MENDIOLA,EN 101|FM 101|FM 102|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103|MM 104,No clear prerequisite identified from the uploaded schedules.
CBAE,LABLAW,LABLAW,Labor Law and Legislation,Labor Law and Legislation,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,SARABIA,HR 201|HR 202,No clear prerequisite identified from the uploaded schedules.
CBAE,LABREL,LABREL,Labor Relations and Negotiations,Labor Relations and Negotiations,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,SARABIA,HR 401|HR 402|HR 403,No clear prerequisite identified from the uploaded schedules.
CBAE,LEAD 1,LEAD1,Leadershio1 Vision and Mission,Leadershio1 Vision and Mission | Leadership 1,1.5,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,EN 101|FM 101|FM 102|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103,No clear prerequisite identified from the uploaded schedules.
CBAE,LEAD2,LEAD2,Leadership2 _ Personal Development,Leadership 2 | Leadership2 _ Personal Development | Leadership2- Personal Development,1.5,2nd Semester,AY 2025-2026,LEAD1,ALL,INFERRED_SEQUENCE,NONE,NONE,JUVELYN|LORETO|MARIEL,EN 101|FM 101|FM 102|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103|MM 104,Clear course sequence inferred from subject codes/descriptions.
CBAE,LEAD 3,LEAD3,Leadership 3 The Heart of a Leader,Leadership | Leadership 3 The Heart of a Leader | Leadership3 The Heart of a Leader,1.5,1st Semester,AY 2026-2027,LEAD2,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,EN 201|FM 102|FM 202|HR 201|HR 202|HR 203|MM 201|MM 202|MM 203|MM 204,Clear course sequence inferred from subject codes/descriptions.
CBAE,LEAD4,LEAD4,Leadership4-The Hands of a Leader,Leadership | Leadership4-The Hands of a Leader,1.5,2nd Semester,AY 2025-2026,LEAD3,ALL,INFERRED_SEQUENCE,NONE,NONE,JUDE|JUVELYN|LORETO|MARIEL,EN 201|FM 201|FM 202|HR 201|HR 202|MM 201|MM 202|MM 203,Clear course sequence inferred from subject codes/descriptions.
CBAE,LEAD 5,LEAD5,Building the Skills,Building the Skills | Leadership | leadershipLeadership,1.5,1st Semester,AY 2026-2027,LEAD4,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,EN 301|FM 301|FM 302|HR 301|HR 302|MM 301|MM 302|MM 303,Clear course sequence inferred from subject codes/descriptions.
CBAE,LEAD6,LEAD6,Leadership,Leadership,1.5,2nd Semester,AY 2025-2026,LEAD5,ALL,INFERRED_SEQUENCE,NONE,NONE,JUDE|JUVELYN|LORETO,EN 301|HR 301|HR 302|HR 303|MM 301|MM 302|MM 303|MM 304,Clear course sequence inferred from subject codes/descriptions.
CBAE,LEAD7,LEAD7,Values Formation 7,Leadership | Leadrship 7 Small Group | Values Formation 7,1.5,1st Semester,AY 2026-2027,LEAD6,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,EN 401|HR 401|HR 402|HR 403|MM 401|MM 402|MM 403|MM 404,Clear course sequence inferred from subject codes/descriptions.
CBAE,LEAD8,LEAD8,Leadership,Leadership | Leadership 8,1.5,2nd Semester,AY 2025-2026,LEAD7,ALL,INFERRED_SEQUENCE,NONE,NONE,JUDE|LORETO|MARIEL,EN 401|HR 401|HR 402|MM 401|MM 402|MM 403,Clear course sequence inferred from subject codes/descriptions.
CBAE,LOGMAN,LOGMAN,Logistics Management,Logistic MAnagement | Logistics Management,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BIBAL|DUCO|GAGARIN,HR 301|HR 302|HR 303,No clear prerequisite identified from the uploaded schedules.
CBAE,MANACC,MANACC,Managerial Accounting,Managerial Accounting,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,FUNDACC,ALL,BRIOLA|LASANG|LIM|URBANO,EN 201|FM 101|FM 102|HR 201|HR 202|MM 201|MM 202|MM 203,No clear prerequisite identified from the uploaded schedules. Possible review: Managerial Accounting commonly follows Fundamentals of Accounting.
CBAE,MARKCOB,MARKCOB,Market Reserach and Consumer Behaviour,Market Reserach and Consumer Behaviour,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,VALENCIA,EN 201,No clear prerequisite identified from the uploaded schedules.
CBAE,MARKDEV,MARKDEV,NEW MARKET DEVELOPMENT,NEW MARKET DEVELOPMENT,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,MM 401|MM 402|MM 403|MM 404,No clear prerequisite identified from the uploaded schedules.
CBAE,MARKRES,MARKRES,Marketing Research,Marketing Research,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,MM 301|MM 302|MM 303,No clear prerequisite identified from the uploaded schedules.
CBAE,MARMAN,MARMAN,Marketing Management,Marketing Management,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,LIM|SARABIA|TELESFORO,EN 101|HR 201|HR 202|HR 203|MM 101|MM 102|MM 103|MM 104,No clear prerequisite identified from the uploaded schedules.
CBAE,MATHINV,MATHINV,Math of Investment,Math of Investment,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,TOLENTINO|TRAVILLA,FM 101|FM 102|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103,No clear prerequisite identified from the uploaded schedules.
CBAE,MATHWRLD,MATHWRLD,Mathematics in the Modern World,Mathemathic in the Modern World | Mathemathics in the Modermn World | Mathemathics in the Modern World | Mathematics in the Modern World,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MIRASOL|TRAVILLA,EN 101|FM 101|FM 102|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103|MM 104,No clear prerequisite identified from the uploaded schedules.
CBAE,MICECO,MICECO,Basic Microeconomics,Basic Microeconomcs | Basic Microeconomics,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CANAY,EN 201|FM 101|FM 102|HR 201|HR 202|MM 301|MM 302|MM 303,No clear prerequisite identified from the uploaded schedules.
CBAE,MICROFIN,MICROFIN,Microfinancing,Microfinancing,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CANAY,EN 301,No clear prerequisite identified from the uploaded schedules.
CBAE,MOPCEB,MOPCEB,Monetary Policy and Central Banking,Monetary Policy and Central Banking,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,FM 301|FM 302,No clear prerequisite identified from the uploaded schedules.
CBAE,NSTP 1,NSTP1,National Service Training Program,National Service Training Prog. | National Service Training Program | National Service Training Program 1 | Nationl Service Training Prog.,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,GABUYA|MARTER,EN 101|FM 101|FM 102|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103,No clear prerequisite identified from the uploaded schedules.
CBAE,NSTP2,NSTP2,National Service Training Prog II,National Service Training Prog II | National Service Training Program 2,3,2nd Semester,AY 2025-2026,NSTP1,ALL,INFERRED_SEQUENCE,NONE,NONE,CABACUB|CUBACUB|EVANGELISTA|MARTER,EN 101|FM 101|FM 102|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103|MM 104,Clear course sequence inferred from subject codes/descriptions.
CBAE,OPMAN,OPMAN,Operations Management (TQM),Operation Management (TQM) | Operations Management (TQM) | Operations Mnagement,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BERNABE|DELA CRUZ|GAGARIN,EN 301|FM 301|FM 302|HR 201|HR 202|HR 203|MM 201|MM 202|MM 203|MM 204,No clear prerequisite identified from the uploaded schedules.
CBAE,OPPOSE,OPPOSE,Opportunity Seeking,Opportunity Seeking,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ESPIRITU,EN 201,No clear prerequisite identified from the uploaded schedules.
CBAE,ORGDEV,ORGDEV,Organizational Development,Organizational Development,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,TELESFORO,HR 301|HR 302|HR 303,No clear prerequisite identified from the uploaded schedules.
CBAE,PATHFIT 1,PATHFIT1,Physical Activity Towrds Health and Firness,Movement Competency Training | Physical Activity Towards Health and Fitness | Physical Activity Towrds Health and Firness,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,GABUYA|PALADA,EN 101|FM 101|FM 102|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103,No clear prerequisite identified from the uploaded schedules.
CBAE,PATHFIT2,PATHFIT2,Exercise Based Course,Exercise Based Course | Exercise-Based Course,2,2nd Semester,AY 2025-2026,PATHFIT1,ALL,INFERRED_SEQUENCE,NONE,NONE,GABUYA|NABUAB|PALADA|SALAZAR,EN 101|FM 101|FM 102|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103|MM 104,Clear course sequence inferred from subject codes/descriptions.
CBAE,PATHFIT 3,PATHFIT3,Dance and Filtness Wellness,Dance Arts | Dance and Filtness Wellness | Dance and Fitness Wellness,2,1st Semester,AY 2026-2027,PATHFIT2,ALL,INFERRED_SEQUENCE,NONE,NONE,GABUYA|PALADA,EN 201|FM 102|FM 202|HR 201|HR 202|HR 203|MM 201|MM 202|MM 203|MM 204,Clear course sequence inferred from subject codes/descriptions.
CBAE,PATHFIT4,PATHFIT4,Sports,Sports,2,2nd Semester,AY 2025-2026,PATHFIT3,ALL,INFERRED_SEQUENCE,NONE,NONE,GABUYA|PALADA,EN 201|FM 201|FM 202|HR 201|HR 202|MM 201|MM 202|MM 203,Clear course sequence inferred from subject codes/descriptions.
CBAE,P.FIN,PFIN,Principles of Finance,PRINCIPLES OF FINANCE | Principles of Finance,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BRIOLA|CANAY|DELA CRUZ|ESPIRITU|INSO,EN 101|FM 101|FM 102|HR 101|HR 102|MM 101|MM 102|MM 103,No clear prerequisite identified from the uploaded schedules.
CBAE,PHILHIS,PHILHIS,Reading in Philippine History,Reading in Philippine History,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CANAY|CORRALES|MENDIOLA|SALAZAR,EN 101|FM 101|FM 102|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103,No clear prerequisite identified from the uploaded schedules.
CBAE,PHILHIST,PHILHIST,Readings in Philippine History,Readings in Philippine History,,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,MM 103,No clear prerequisite identified from the uploaded schedules.
CBAE,P.MGT,PMGT,Principles of Management,Principles of Management,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DUCO|ESPIRITU,EN 101|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103,No clear prerequisite identified from the uploaded schedules.
CBAE,P.MKTG,PMKTG,Principles of Marketing,Principle of Marketing | Principles of Marketing,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CANAY|LAYOS,EN 101|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103,No clear prerequisite identified from the uploaded schedules.
CBAE,PRACT,PRACT,Practicum/Work Integrated Learning (600 Hours),Practicum/Work Integrated Learning (600 Hours) | Work Integrated Learning (600hrs),6,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,JOSEN|LIM|TOLENTINO,HR 401|HR 402|MM 401|MM 402|MM 403,No clear prerequisite identified from the uploaded schedules.
CBAE,PRICOS,PRICOS,Pricing and Costing,Pricing and Costing,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,LAYOS,EN 201,No clear prerequisite identified from the uploaded schedules.
CBAE,PRISTRAT,PRISTRAT,Pricing Strategy,Pricing Strategy,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,LAYOS,MM 201|MM 202|MM 203|MM 204,No clear prerequisite identified from the uploaded schedules.
CBAE,PRODMAN,PRODMAN,Product Management,Product Management,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,MM 301|MM 302|MM 303,No clear prerequisite identified from the uploaded schedules.
CBAE,PROJMAN,PROJMAN,Project Management,Project Management,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,TELESFORO,HR 201|HR 202,No clear prerequisite identified from the uploaded schedules.
CBAE,PROSAL,PROSAL,Professional Salesmanship,Professional Salesmanship,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,TANANGONAN,MM 301|MM 302|MM 303|MM 304,No clear prerequisite identified from the uploaded schedules.
CBAE,PSPEAK,PSPEAK,Public Speaking,Public Speaking,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ACOSTA|BRIOLA|JABONITA,EN 201|MM 201|MM 202|MM 203,No clear prerequisite identified from the uploaded schedules.
CBAE,PURPCOMM,PURPCOMM,Purposive Communication,Purposive Communication,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,EN 101|FM 101|FM 102|HR 101|HR 102|HR 103,No clear prerequisite identified from the uploaded schedules.
CBAE,RECSEL,RECSEL,Recruitement and Selection,Recruitement and Selection,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DUCO,HR 201|HR 202|HR 203,No clear prerequisite identified from the uploaded schedules.
CBAE,RETMAN,RETMAN,Retail Management,Retail Management,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BIBAL,MM 301|MM 302|MM 303|MM 304,No clear prerequisite identified from the uploaded schedules.
CBAE,RIZAL,RIZAL,Rizal;s Life & Works,Rizal's LIfe & Works | Rizal's Life & Works | Rizal;s Life & Works,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ANTONIO|CORRALES|DELACRUZ|LAYOS,EN 101|FM 102|FM 202|HR 201|HR 202|MM 201|MM 202|MM 203|MM 204,No clear prerequisite identified from the uploaded schedules.
CBAE,SCITECH,SCITECH,"Science, Technology and Society","Science, Technology and Society | Science, Technology, and Society",3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CACERES,EN 101|MM 101|MM 102|MM 103|MM 104,No clear prerequisite identified from the uploaded schedules.
CBAE,SOCENT,SOCENT,Social Entrepreneurship,Social Entrepreneurship,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ESCLAREZ,EN 301,No clear prerequisite identified from the uploaded schedules.
CBAE,SOSLIT,SOSLIT,Sosyedad at Literatura,Sosyedad at Literatura,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CARPILA|COMPETENTE|CORRALES|CUADRA|EVANGELISTA|GARCHITORENA|SALAZAR,EN 201|FM 201|FM 202|HR 201|HR 202|HR 203|MM 101|MM 102|MM 103,No clear prerequisite identified from the uploaded schedules.
CBAE,SPT-HR,SPTHR,Special Topics in Human in Resource Management,Special Topics in Human in Resource Management,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,OSIO,HR 401|HR 402,No clear prerequisite identified from the uploaded schedules.
CBAE,SPT-MM,SPTMM,Special Topics in Marketing Mgt,Special Topics in Marketing Mgt,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ESCLAREZ,MM 401|MM 402|MM 403,No clear prerequisite identified from the uploaded schedules.
CBAE,STATRES,STATRES,Statistics for Research,Statistics Research | Statistics for Research,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,TOLENTINO,FM 301|FM 302|HR 301|HR 302|MM 201|MM 202|MM 203,No clear prerequisite identified from the uploaded schedules.
CBAE,STRAMAN,STRAMAN,Strategic Management,Strategic Management,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ABAD|CANAY|DELA CRUZ|TELESFORO|TOLENTINO,EN 301|FM 301|FM 302|HR 301|HR 302|HR 303|MM 201|MM 202|MM 203|MM 301|MM 302|MM 303|MM 304,No clear prerequisite identified from the uploaded schedules.
CBAE,TAX,TAX,Taxation,Taxation,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CAMACHO|TULOD,FM 201|FM 202|HR 201|HR 202|HR 203|MM 201|MM 202|MM 203,No clear prerequisite identified from the uploaded schedules.
CBAE,THESIS,THESIS,THESIS,THESIS,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,BUSRES|MARKRES|STATRES,ANY,DELA CRUZ,HR 401|HR 402|HR 403|MM 401|MM 402|MM 403|MM 404,No clear prerequisite identified from the uploaded schedules. Possible review: Thesis likely follows a research-method subject; the applicable course depends on the program.
