,MATHWRLD,Mathematics in the Modern World,3,Tue,07:30 AM-10:30 AM,39895,3A,MS. OLVIS,https://classroom.google.com/c/ODY4ODQ5NzQ0Mjc2?cjc=y5xartzu,HYFLEX A,,,
,NSTP 1,National Service Training Program 1,3,Tue,10:30 AM-01:30 PM,39995,5F,MR. CUBACUB,https://classroom.google.com/c/ODcwNDkxNzU1NjAx?cjc=ulojxrty,HYFLEX A,,,
,PATHFIT1,Physical Activity Towards Health and Fitness,2,Wed,10:30 AM-12:30 PM,40025,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODU1MzY0NDQ1NjA4?cjc=ukooow3a,HYFLEX A,,,
,PHILHIST,Readings in Philippine History,3,Sat,10:30 AM-01:30 PM,40059,5G,MS. PABELARIO,https://classroom.google.com/c/ODY4ODMzODY4ODE2?cjc=miln6gq3,HYFLEX A,,,
,PURPCOMM,Purposive Communication,3,Tue,02:00 PM-05:00 PM,40103,3B,MS. GALLEN,https://classroom.google.com/c/ODU1Mzc5MDczMjM0?cjc=enkffufc,HYFLEX A,,,
,UNDSELF,Understanding the Self/Pagunawa sa Sarili,3,Wed,07:30 AM-10:30 AM,40142,3B,MS. ALARIAO,https://classroom.google.com/c/ODU1MzgxNTM3MzU2?cjc=i2lw4u62,HYFLEX A,,,
,********NOTHING FOLLOWS********,,30.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 104,IT 104,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ITC,Introduction to Computing LEC,2,Tue,11:30 AM-01:30 PM,39715,ONLINE,MR. MACINAS,https://classroom.google.com/c/ODY4Nzc4NjY1MDkw?cjc=7pfa2iug,ONLINE,,,
,ITCL,Introduction to Computing LAB,1,Wed,05:00 PM-08:00 PM,39719,LAB2,MR. MACINAS,,HYFLEX A,,,
,ITP1,Computer Hardware and Troubleshooting LEC,2,Tue,01:30 PM-03:30 PM,39762,ONLINE,MR. MACINAS,https://classroom.google.com/c/ODY4Nzc4NTY5NjM2?cjc=r275tgrd,ONLINE,,,
,ITP1L,Computer Hardware and Troubleshooting LAB,1,Thu,02:00 PM-05:00 PM,39766,3A,MR. MACINAS,,HYFLEX A,,,
,ITP2,Fundamentals of Programming LEC,2,Tue,07:00 PM-09:00 PM,39827,ONLINE,MS. PUNZALAN,https://classroom.google.com/c/ODY4ODYwNjMzMTI1?cjc=nne3uacj,ONLINE,,,
,ITP2L,Fundamentals of Programming LAB,1,Sat,05:00 PM-08:00 PM,39829,3A,MS. PUNZALAN,,HYFLEX A,,,
,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,3,Sat,02:00 PM-05:00 PM,39866,3B,MS. FERNANDEZ,https://classroom.google.com/c/ODY4ODQ0MDIxNTI2?cjc=ziyuumne,HYFLEX A,,,
,LEAD 1,Leadership 1,1.5,Wed,09:00 AM-10:30 AM,39962,5E,Coach. Rodolfo P. Loreto,https://classroom.google.com/c/ODE5ODQwMDAyOTI2?cjc=af53zpju,HYFLEX A,,,
,MATHWRLD,Mathematics in the Modern World,3,Fri,05:00 PM-08:00 PM,39901,3B,MS. SANTIAGO,https://classroom.google.com/c/ODY4ODYyNzI1MzA3?cjc=anjso3d4,HYFLEX A,,,
,NSTP 1,National Service Training Program 1,3,Fri,10:30 AM-01:30 PM,39999,5F,MR CUBACUB,https://classroom.google.com/c/ODcwNDkxOTA2Mjc4?cjc=kcc62qqk,HYFLEX A,,,
,PATHFIT1,Physical Activity Towards Health and Fitness,2,Thu,05:00 PM-07:00 PM,40030,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODY4NzkxMjQ4Njg3?cjc=edienqux,HYFLEX A,,,
,PHILHIST,Readings in Philippine History,3,Wed,02:00 PM-05:00 PM,40064,5B,MR. ALONZO,https://classroom.google.com/c/Nzk4MzU5MjE4NDU2?cjc=fjfqndge,HYFLEX A,,,
,PURPCOMM,Purposive Communication,3,Fri,02:00 PM-05:00 PM,40110,3B,MS. GALLEN,https://classroom.google.com/c/ODU1Mzc5MDI0NzQ2?cjc=azabtl2m,HYFLEX A,,,
,UNDSELF,Understanding the Self/Pagunawa sa Sarili,3,Wed,10:30 AM-01:30 PM,40144,3B,MS. ALARIAO,https://classroom.google.com/c/ODU1MzgxNDc4NDMx?cjc=f3mnyq4s,HYFLEX A,,,
,********NOTHING FOLLOWS********,,30.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 105,IT 105,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ITC,Introduction to Computing LEC,2,Mon,05:00 PM-07:00 PM,39721,ONLINE,MS. SUNGA,https://classroom.google.com/c/ODU1MzkzMTk0NjA0?cjc=rkhwc35j,ONLINE,,,
,ITCL,Introduction to Computing LAB,1,Fri,07:30 AM-10:30 AM,39723,LAB2,MS. SUNGA,,HYFLEX B,,,
,ITP1,Computer Hardware and Troubleshooting LEC,2,Tue,07:00 PM-09:00 PM,39778,ONLINE,MR. LEI,https://classroom.google.com/c/ODY4OTg4MjU5Mjcz?cjc=lvf63zjd,ONLINE,,,
,ITP1L,Computer Hardware and Troubleshooting LAB,1,Sat,07:30 AM-10:30 AM,39786,3A,MR. LEI,,HYFLEX B,,,
,ITP2,Fundamentals of Programming LEC,2,Mon,07:00 PM-09:00 PM,39831,ONLINE,MR. TANAEL,https://classroom.google.com/c/ODY4ODUwNTU1NjIw?cjc=gjt273l2,ONLINE,,,
,ITP2L,Fundamentals of Programming LAB,1,Tue,07:30 AM-10:30 AM,39833,LAB1,MR. TANAEL,,HYFLEX B,,,
,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,3,Sat,10:30 AM-01:30 PM,39868,3B,DR. DANUCO,https://classroom.google.com/c/ODU1MzY4MDk0MDE5?cjc=mrh62ji3,HYFLEX B,,,
,LEAD 1,Leadership 1,1.5,Fri,10:30 AM-12:00 PM,39964,5E,Coach. Rodolfo P. Loreto,https://classroom.google.com/c/ODcwMzgwODAyMDA3?cjc=trjoybio,HYFLEX B,,,
,MATHWRLD,Mathematics in the Modern World,3,Mon,07:30 AM-10:30 AM,39915,3A,MS. OLVIS,https://classroom.google.com/c/ODY4ODQxMjg2NzQx?cjc=4ohvoj44,HYFLEX B,,,
,NSTP 1,National Service Training Program 1,3,Mon,10:30 AM-01:30 PM,40003,5F,MS.. SALAZAR,https://classroom.google.com/c/ODcwNTc0NDAwMDc3?cjc=uesbflke,HYFLEX B,,,
,PATHFIT1,Physical Activity Towards Health and Fitness,2,Fri,12:30 PM-02:30 PM,40035,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODU1MzY0Mjg3MzE2?cjc=hofp2xfe,HYFLEX B,,,
,PHILHIST,Readings in Philippine History,3,Tue,10:30 AM-01:30 PM,40076,3A,MS. SALAZAR,https://classroom.google.com/c/ODU1MzY0NTMwNzIz?cjc=qovm2v7h,HYFLEX B,,,
,PURPCOMM,Purposive Communication,3,Mon,02:00 PM-05:00 PM,40114,3B,MS. GALLEN,https://classroom.google.com/c/ODU1Mzc5MjYzMjI2?cjc=3qcrp4jq,HYFLEX B,,,
,UNDSELF,Understanding the Self/Pagunawa sa Sarili,3,Tue,02:00 PM-05:00 PM,40151,3A,MS. DELARMENTE,https://classroom.google.com/c/ODY4ODQ4NTcwMDQz?cjc=ifpnmord,HYFLEX B,,,
,********NOTHING FOLLOWS********,,30.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 106,IT 106,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ITC,Introduction to Computing LEC,2,Mon,07:00 PM-09:00 PM,39725,ONLINE,MS. SUNGA,https://classroom.google.com/c/ODU1MzkzMzk4NzQw?cjc=2oeo66ta,ONLINE,,,
,ITCL,Introduction to Computing LAB,1,Fri,10:30 AM-01:30 PM,39727,LAB2,MS. SUNGA,,HYFLEX B,,,
,ITP1,Computer Hardware and Troubleshooting LEC,2,Wed,07:00 PM-09:00 PM,39788,ONLINE,MR. LEI,https://classroom.google.com/c/ODY4OTg4MjU5Mjcz?cjc=lvf63zjd,ONLINE,,,
,ITP1L,Computer Hardware and Troubleshooting LAB,1,Sat,10:30 AM-01:30 PM,39790,3A,MR. LEI,,HYFLEX B,,,
,ITP2,Fundamentals of Programming LEC,2,Fri,07:30 AM-09:30 AM,39838,ONLINE,MR. TANAEL,https://classroom.google.com/c/ODcwMzQ3MDkxMjM2?cjc=pnj3ndnn,ONLINE,,,
,ITP2L,Fundamentals of Programming LAB,1,Thu,06:00 PM-09:00 PM,39840,5A,MR. TANAEL,,HYFLEX B,,,
,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,3,Sat,07:30 AM-10:30 AM,39872,3B,DR. DANUCO,https://classroom.google.com/c/ODY4ODE0NTcwNjgz?cjc=epyyjjji,HYFLEX B,,,
,LEAD 1,Leadership 1,1.5,Wed,10:30 AM-12:00 PM,39966,5E,Coach. Jude Salonga,ayfbnbax ,HYFLEX B,,,
,MATHWRLD,Mathematics in the Modern World,3,Thu,03:00 PM-06:00 PM,39918,5A,MS. MIRASOL,https://classroom.google.com/c/ODY4ODQwODc4NzQ0?cjc=zmfe2gcz,HYFLEX B,,,
,NSTP 1,National Service Training Program 1,3,Wed,07:30 AM-10:30 AM,40005,5F,MR. MICHAEL JOHN E. SILVERIO,https://meet.google.com/zsw-xzeb-wsn    hcldwveo,HYFLEX B,,,
,PATHFIT1,Physical Activity Towards Health and Fitness,2,Wed,12:30 PM-02:30 PM,40037,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODU1MzY1MTA5MjI4?cjc=l45rcni7,HYFLEX B,,,
,PHILHIST,Readings in Philippine History,3,Wed,02:30 PM-05:30 PM,40082,5B,MS. SALAZAR,https://classroom.google.com/c/ODU1MzY0NzYyNzM1?cjc=mbdyxtve,HYFLEX B,,,
,PURPCOMM,Purposive Communication,3,Sat,02:00 PM-05:00 PM,40118,5A,MS. PAYUSAN,https://classroom.google.com/c/ODY4ODc1MjMxNjQ3?cjc=untleu4v,HYFLEX B,,,
,UNDSELF,Understanding the Self/Pagunawa sa Sarili,3,Fri,02:00 PM-05:00 PM,40155,3A,MS. DELARMENTE,https://classroom.google.com/c/ODY4ODQ4MjM1MzA1?cjc=z7dzgllq,HYFLEX B,,,
,********NOTHING FOLLOWS********,,30.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 107,IT 107,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ITC,Introduction to Computing LEC,2,Tue,07:00 PM-09:00 PM,39729,ONLINE,MS. SUNGA,https://classroom.google.com/c/ODU1MzkzNDI4Njg3?cjc=sgmmkvfg,ONLINE,,,
,ITCL,Introduction to Computing LAB,1,Fri,02:00 PM-05:00 PM,39731,LAB2,MS. SUNGA,,HYFLEX B,,,
,ITP1,Computer Hardware and Troubleshooting LEC,2,Tue,05:00 PM-07:00 PM,39795,ONLINE,MR. LEI,https://classroom.google.com/c/ODY4OTg4MjU5Mjcz?cjc=lvf63zjd,ONLINE,,,
,ITP1L,Computer Hardware and Troubleshooting LAB,1,Sat,02:00 PM-05:00 PM,39799,3A,MR. LEI,,HYFLEX B,,,
,ITP2,Fundamentals of Programming LEC,2,Sat,07:30 AM-09:30 AM,39844,ONLINE,MR. TANAEL,https://classroom.google.com/c/ODcwMzQ2ODc2OTk2?cjc=infvvxwn,ONLINE,FRI 9:30 AM - 11:30 AM,,
,ITP2L,Fundamentals of Programming LAB,1,Thu,10:30 AM-01:30 PM,39846,3A,MR. TANAEL,,HYFLEX B,,,
,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,3,Sat,05:00 PM-08:00 PM,39874,3B,DR. DANUCO,https://classroom.google.com/c/ODU1MzcxOTUxMDEz?cjc=ewe5xfyi,HYFLEX B,,,
,LEAD 1,Leadership 1,1.5,Fri,12:00 PM-01:30 PM,39970,5E,Coach. Mariel Prado,t2j6ja4m,HYFLEX B,,,
,MATHWRLD,Mathematics in the Modern World,3,Thu,06:00 PM-09:00 PM,39922,3B,MS. MIRASOL,https://classroom.google.com/c/ODY4ODQyNzU1NjIz?cjc=pzavb5yd,HYFLEX B,,,
,NSTP 1,National Service Training Program 1,3,Wed,02:00 PM-05:00 PM,40008,5F,,,HYFLEX B,,,
,PATHFIT1,Physical Activity Towards Health and Fitness,2,Wed,05:00 PM-07:00 PM,40042,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODU1MzY1MTA5MjI4?cjc=l45rcni7,HYFLEX B,,,
,PHILHIST,Readings in Philippine History,3,Thu,02:00 PM-05:00 PM,40086,5B,MS. SALAZAR,https://classroom.google.com/c/ODU1MzY0NjE1MzI4?cjc=dupckjgr,HYFLEX B,,,
,PURPCOMM,Purposive Communication,3,Sat,10:30 AM-01:30 PM,40125,5A,MS. PAYUSAN,https://classroom.google.com/c/ODU1Mzg3MjEwODY5?cjc=tz7bwezv,HYFLEX B,,,
,UNDSELF,Understanding the Self/Pagunawa sa Sarili,3,Fri,05:00 PM-08:00 PM,40162,3B,MS. DELARMENTE,https://classroom.google.com/c/ODY4ODQ1NTg1MTAx?cjc=dfjc6xh3,HYFLEX B,,,
,********NOTHING FOLLOWS********,,30.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 108,IT 108,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ITC,Introduction to Computing LEC,2,Mon,01:30 PM-03:30 PM,39733,ONLINE,MS. SUNGA,https://classroom.google.com/c/ODU1Mzg3MTQ2MTE1?cjc=xp4nkehy,ONLINE,,,
,ITCL,Introduction to Computing LAB,1,Fri,05:00 PM-08:00 PM,39735,LAB2,MS. SUNGA,,HYFLEX B,,,
,ITP1,Computer Hardware and Troubleshooting LEC,2,Mon,07:00 PM-09:00 PM,39801,ONLINE,MR. LEI,https://classroom.google.com/c/ODY4OTg4MjU5Mjcz?cjc=lvf63zjd,ONLINE,,,
,ITP1L,Computer Hardware and Troubleshooting LAB,1,Sat,05:00 PM-08:00 PM,39806,3A,MR. LEI,,HYFLEX B,,,
,ITP2,Fundamentals of Programming LEC,2,Mon,05:00 PM-07:00 PM,39852,ONLINE,MR. TANAEL,https://classroom.google.com/c/ODcwMzQ2ODE4NzU2?cjc=z42pbaij,ONLINE,FRI 11:30 AM - 1:30 PM,,
,ITP2L,Fundamentals of Programming LAB,1,Thu,02:00 PM-05:00 PM,39854,3A,MR. TANAEL,,HYFLEX B,,,
,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,3,Sat,02:00 PM-05:00 PM,39876,3B,DR. DANUCO,https://classroom.google.com/c/ODU1MzcxOTIxMTUx?cjc=lqtfkiyk,HYFLEX B,,,
,LEAD 1,Leadership 1,1.5,Fri,03:00 PM-04:30 PM,39974,5E,Coach. Rodolfo P. Loreto,https://classroom.google.com/c/ODU1NDY3MTA3NzEw?cjc=lw5ydrmu,HYFLEX B,,,
,MATHWRLD,Mathematics in the Modern World,3,Tue,05:00 PM-08:00 PM,39928,3B,MS. MIRASOL,https://classroom.google.com/c/Nzk4MzUyMTY3MzM2?cjc=6mciuxsw,HYFLEX B,,,
,NSTP 1,National Service Training Program 1,3,Sat,10:30 AM-01:30 PM,40010,5F,MR. CUBACUB,https://classroom.google.com/c/ODU1NDk1NDg5NDUx?cjc=q7ykaccq,HYFLEX B,,,
,PATHFIT1,Physical Activity Towards Health and Fitness,2,Tue,11:00 AM-01:00 PM,40047,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODU1MzY0ODIwNzgy?cjc=dh7d3zaa,HYFLEX B,,,
,PHILHIST,Readings in Philippine History,3,Thu,10:30 AM-01:00 PM,40088,3B,MS. SALAZAR,https://classroom.google.com/c/ODU1MzY0OTA1Njg3?cjc=6bnh2tie,HYFLEX B,,,
,PURPCOMM,Purposive Communication,3,Tue,02:00 PM-05:00 PM,40127,3B,MS. ALOC,https://classroom.google.com/c/ODcwMjk3NTQ3Njg1?cjc=6ymcetk7,HYFLEX B,,,
,UNDSELF,Understanding the Self/Pagunawa sa Sarili,3,Thu,05:00 PM-08:00 PM,40178,3A,MS. DELARMENTE,https://classroom.google.com/c/ODY4ODQ5NTUyODcy?cjc=inqgrrph,HYFLEX B,,,
,********NOTHING FOLLOWS********,,30.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
IT 109,IT 109,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,SCHED ID,DAY,TIME,UNIT,ROOM,Name of Faculty,Google Classroom Code(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ITC,Introduction to Computing LEC,,,,,,,,,,,
,ITCL,Introduction to Computing LAB,,,,,,,,,,,
,ITP1,Computer Hardware and Troubleshooting LEC,,,,,,,,,,,
,ITP1L,Computer Hardware and Troubleshooting LAB,,,,,,,,,,,
,ITP2,Fundamentals of Programming LEC,,,,,,,,,,,
,ITP2L,Fundamentals of Programming LAB,,,,,,,,,,,
,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,,,,,,,,,,,
,LEAD 1,Leadership 1,,,,,,,,,,,
,MATHWRLD,Mathematics in the Modern World,,,,,,,,,,,
,NSTP 1,National Service Training Program 1,,,,,,,,,,,
,PATHFIT1,Physical Activity Towards Health and Fitness,,,,,,,,,,,
,PHILHIST,Readings in Philippine History,,,,,,,,,,,
,PURPCOMM,Purposive Communication,,,,,,,,,,,
,UNDSELF,Understanding the Self/Pagunawa sa Sarili,,,,,,,,,,,
,********NOTHING FOLLOWS********,,,,,0,,,,,,,
,,,,,,,,,,,,,
IT 201,IT 201,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,AVE,Animation and Video Editing LEC,2,Tue,07:00 PM-09:00 PM,40182,ONLINE,MR. UMALI,https://classroom.google.com/c/ODU1MzQzODc2MjAw?cjc=jdrimenc,ONLINE,,,
,AVEL,Animation and Video Editing LAB,1,Sat,07:30 AM-10:30 AM,40184,LAB3,MR. UMALI,,HYFLEX B,,,
,CPROG2,Computer Programming 2 LEC,2,Mon,05:00 PM-07:00 PM,40210,ONLINE,MR. TANAEL,https://classroom.google.com/c/ODY4ODUxMDI5OTI5?cjc=l5blszlo,ONLINE,,,
,CPROG2L,Computer Programming 2 LAB,1,Wed,07:30 AM-10:30 AM,40212,LAB1,MR. TANAEL,,HYFLEX B,,,
